rank,title,author,first_publish_year,readinglog_count,want_to_read_count,already_read_count,ratings_average,ratings_count,genre,date_fetched
121,Tales from a Not-So-Happily Ever After,Rachel Renée Russell,2009,343,259,50,4.0833335,24,humor,2026-04-25
122,A Dog's Purpose,W. Bruce Cameron,2010,342,298,24,4.4210525,19,humor,2026-04-25
123,"Oh, the Places You'll Go!",Dr. Seuss,1990,337,229,94,4.0545454,55,humor,2026-04-25
124,There is a bird on your head!,Mo Willems,2007,333,241,79,4.6,25,humor,2026-04-25
125,Women,Charles Bukowski,1978,332,284,35,3.6538463,26,humor,2026-04-25
126,The Westing Game,Ellen Raskin,1978,330,254,55,3.878788,33,humor,2026-04-25
127,Amelia Bedelia,"Peggy Parish, Fritz Siebel, Barbara Siebel Thomas, Wallace Tripp",1963,329,241,70,4.354839,31,humor,2026-04-25
128,Three Men in a Boat (to say nothing of the dog),Jerome Klapka Jérôme,1889,329,249,56,4.0,34,humor,2026-04-25
129,"Works (Hitch Hiker's Guide to the Galaxy / Restaurant at the End of the Universe / Life, the Universe and Everything / So Long, and Thanks for All the Fish / Mostly Harmless / Young Zaphod Plays it Safe)",Douglas Adams,1996,326,166,145,4.4134617,104,humor,2026-04-25
130,Poor Charlie's Almanack,"Charles T. Munger, Charles T. Munger",2005,326,291,17,4.4,15,humor,2026-04-25
131,Tales from a Not-So-Happy Birthday,Rachel Renée Russell,2018,325,295,10,4.368421,19,humor,2026-04-25
132,Artemis Fowl and the Eternity Code,Eoin Colfer,2003,323,238,73,4.24,25,humor,2026-04-25
133,Naked Lunch,"William S. Burroughs, William Burroughs",1959,323,265,38,3.7619047,21,humor,2026-04-25
134,Maniac Magee,Jerry Spinelli,1990,320,242,51,4.108108,37,humor,2026-04-25
135,Ubik,Philip K. Dick,1969,318,207,102,3.9452055,73,humor,2026-04-25
136,Diary of a Wimpy Kid,Jeff Kinney,2024,313,281,9,5.0,6,humor,2026-04-25
137,Anxious People,Fredrik Backman,2020,312,275,28,4.3333335,21,humor,2026-04-25
138,Small Gods,"Terry Pratchett, Ray Friesen",1992,312,191,115,4.236111,72,humor,2026-04-25
139,By The Great Horn Spoon,Sid Fleischman,1963,312,271,10,4.1666665,12,humor,2026-04-25
140,A Room with a View,E. M. Forster,1905,312,254,35,3.75,20,humor,2026-04-25
141,The Diamond Age,Neal Stephenson,1995,308,184,113,4.1,90,humor,2026-04-25
142,The Mouse and the Motorcycle,Beverly Cleary,1965,304,227,61,3.909091,33,humor,2026-04-25
143,The Indispensable Calvin and Hobbes,Bill Watterson,1992,303,231,53,4.6666665,42,humor,2026-04-25
144,Big Nate Strikes Again,Lincoln Peirce,2010,303,266,20,4.0,22,humor,2026-04-25
145,Cat Kid Comic Club,Dav Pilkey,2020,302,268,22,4.275862,29,humor,2026-04-25
146,Dirk Gently’s Holistic Detective Agency,Douglas Adams,1987,302,220,71,4.0,38,humor,2026-04-25
147,The Bad Guys,Aaron Blabey,2016,294,251,25,4.5,22,humor,2026-04-25
148,Frog and Toad Together,Arnold Lobel,1971,294,215,70,4.151515,33,humor,2026-04-25
149,Wyrd Sisters,Terry Pratchett,1988,289,160,121,4.0,72,humor,2026-04-25
150,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz",1972,287,221,57,3.9142857,35,humor,2026-04-25
