rank,title,author,first_publish_year,readinglog_count,want_to_read_count,already_read_count,ratings_average,ratings_count,genre,date_fetched
131,Damián,Alex Mírez,2022,351,305,15,4.4210525,19,mystery,2026-04-25
132,Middlemarch,"George Eliot, Jessica Hische, Francine Prose, ReadinGreat, Claire Jarvis, Margot Everett",1800,347,280,49,4.12,25,mystery,2026-04-25
133,1Q84,村上春樹,2009,345,260,76,3.8863637,44,mystery,2026-04-25
134,Dog Man,Dav Pilkey,2002,345,305,21,4.392857,28,mystery,2026-04-25
135,The Big Four,Agatha Christie,1927,344,243,75,4.181818,22,mystery,2026-04-25
136,The Murder at the Vicarage,Agatha Christie,1930,338,246,73,4.137931,29,mystery,2026-04-25
137,Sleeping Murder,Agatha Christie,1940,337,271,51,4.142857,14,mystery,2026-04-25
138,The enemy,Lee Child,2004,337,287,41,3.7692308,13,mystery,2026-04-25
139,Five Little Pigs,Agatha Christie,1942,336,267,62,4.0,19,mystery,2026-04-25
140,The Big Sleep,Raymond Chandler,1939,336,274,48,4.05,20,mystery,2026-04-25
141,Duma Key,Stephen King,2008,335,236,85,4.019608,51,mystery,2026-04-25
142,Matahari,Tere Liye,2016,334,266,40,4.368421,19,mystery,2026-04-25
143,The Red House Mystery,A. A. Milne,1922,334,271,33,4.428571,14,mystery,2026-04-25
144,Bully,Penelope Douglas,2013,332,293,17,4.6363635,11,mystery,2026-04-25
145,Crooked House,Agatha Christie,1949,332,273,43,4.2727275,11,mystery,2026-04-25
146,The Westing Game,Ellen Raskin,1978,330,254,55,3.878788,33,mystery,2026-04-25
147,The magic Faraway Tree,Enid Blyton,1943,327,271,38,4.2105265,19,mystery,2026-04-25
148,Il pendolo di Foucault,Umberto Eco,1988,325,243,74,3.92,50,mystery,2026-04-25
149,Darkstalker,Tui T. Sutherland,2016,323,277,29,4.647059,17,mystery,2026-04-25
150,The Housemaid Is Watching,Freida McFadden,2024,323,288,18,3.5,6,mystery,2026-04-25


1,Sapiens,Yuval Noah Harari,2011,5748,5028,312,4.2189054,201,non-fiction,2026-04-25
2,Divergent,Veronica Roth,2010,2080,1617,343,3.96,200,non-fiction,2026-04-25
3,Guess How Much I Love You,"Sam McBratney, Anita Jeram",1994,1436,1152,197,4.337209,86,non-fiction,2026-04-25
4,Анна Каренина,Лев Толстой,1876,1269,1089,101,4.2083335,48,non-fiction,2026-04-25
5,The Scarlet Letter,Nathaniel Hawthorne,1800,1177,938,207,3.416,125,non-fiction,2026-04-25
6,Lights Out,Navessa Allen,2024,1151,1057,35,4.409091,22,non-fiction,2026-04-25
7,Tao te Ching,老子,1842,983,844,82,4.285714,56,non-fiction,2026-04-25
8,A Christmas Carol,"Charles Dickens, Groth, Nancy Baker",1843,971,710,206,3.9423077,104,non-fiction,2026-04-25
9,Gulliver's Travels,Jonathan Swift,1726,920,738,139,3.6136363,88,non-fiction,2026-04-25
10,The Phantom Tollbooth,Norton Juster,1961,902,693,143,4.1568627,102,non-fiction,2026-04-25
11,Biology,Neil Alexander Campbell,1987,887,789,33,3.88,25,non-fiction,2026-04-25
12,Le Deuxième Sexe,Simone de Beauvoir,1949,853,746,35,4.0588236,17,non-fiction,2026-04-25
13,Goodnight Moon,Margaret Wise Brown,1947,838,641,151,4.0735292,68,non-fiction,2026-04-25
14,The Hound of the Baskervilles,Arthur Conan Doyle,1900,718,550,121,4.0,59,non-fiction,2026-04-25
15,The Selfish Gene,Richard Dawkins,1976,626,504,93,4.352113,71,non-fiction,2026-04-25
16,The Yellow Wallpaper,"Charlotte Perkins Gilman, Aric Cushing, Logan Thomas, SparkNotes, Bryan Hunt, A. J. Alexander, Steven Stern, Aileen Oracion, Twisted Classics, Anne Geer, Sara Barkat, Period Time Publishing, Félix Gerónimo, AGUSTIN LOPEZ TOBAJAS, Nicolae Sfetcu, Erminia Passannanti",1892,611,440,142,4.12987,77,non-fiction,2026-04-25
17,Everything is F*cked,"Mark Manson, Carlos Ramos Malavé",2019,584,536,29,3.631579,19,non-fiction,2026-04-25
18,Danse Macabre,Stephen King,1980,513,396,100,3.858407,113,non-fiction,2026-04-25
19,El túnel,Ernesto Sabato,1948,448,357,56,4.138889,36,non-fiction,2026-04-25
20,Lilith,George MacDonald,1895,424,384,13,3.5,6,non-fiction,2026-04-25
21,Advanced Engineering Mathematics,Erwin Kreyszig,1957,357,313,11,4.0,12,non-fiction,2026-04-25
22,Fun Home,Alison Bechdel,2000,357,258,89,4.0961537,52,non-fiction,2026-04-25
23,Hillbilly Elegy,J. D. Vance,2016,346,271,62,3.707317,41,non-fiction,2026-04-25
24,"Oh, the Places You'll Go!",Dr. Seuss,1990,337,229,94,4.0545454,55,non-fiction,2026-04-25
25,The Tommyknockers,Stephen King,1985,330,253,64,4.1666665,18,non-fiction,2026-04-25
26,The Classic Tale of the Velveteen Rabbit,Margery Williams Bianco,1900,319,228,79,4.125,40,non-fiction,2026-04-25
27,Evicted,"Matthew Desmond, Enrique Maldonado Roldn",2016,246,202,31,4.3157897,19,non-fiction,2026-04-25
28,La vérité sur l'affaire Harry Quebert,Joël Dicker,2012,243,194,30,4.0416665,24,non-fiction,2026-04-25
29,Rotkäppchen,"Charles Perrault, Gebrüder Grimm [Brothers Grimm]",1945,199,177,13,3.4,5,non-fiction,2026-04-25
30,The Way Things Work,David Macaulay,1988,197,176,13,4.2222223,9,non-fiction,2026-04-25
31,His Dark Materials,Philip Pullman,2000,189,133,47,3.9615386,26,non-fiction,2026-04-25
32,Hyperbole and a Half,Allie Brosh,1900,180,126,52,4.3636365,44,non-fiction,2026-04-25
33,The golden bough,"James George Frazer, Theodor Herzl Gaster, George W. Stocking",1890,166,154,6,3.8,5,non-fiction,2026-04-25
34,Motivation and goal-setting,"Jim Cairo, Inc. National Press Publications",1989,163,154,5,3.6666667,3,non-fiction,2026-04-25
35,Alive!,Piers Paul Read,1920,162,134,20,3.8333333,12,non-fiction,2026-04-25
36,Why I'm No Longer Talking to White People About Race,"Reni Eddo-Lodge, Ana Camallonga",2017,150,125,24,3.7777777,18,non-fiction,2026-04-25
37,The White Dragon,Anne McCaffrey,1978,141,94,46,4.25,20,non-fiction,2026-04-25
38,The Lincoln Lawyer (Mickey Haller #1),Michael Connelly,1895,140,113,25,3.9166667,12,non-fiction,2026-04-25
39,"Carry on, Mr. Bowditch",Jean Lee Latham,1955,138,106,24,4.181818,11,non-fiction,2026-04-25
40,Never Cry Wolf,Farley Mowat,1963,137,113,11,4.2,5,non-fiction,2026-04-25
41,Body Language,Julius Fast,1970,129,113,6,5.0,2,non-fiction,2026-04-25
42,"Eats, Shoots & Leaves",Lynne Truss,2003,113,74,36,3.68,25,non-fiction,2026-04-25
43,Jude the Obscure,Thomas Hardy,1895,111,86,17,3.909091,11,non-fiction,2026-04-25
44,My Teacher Is an Alien,Bruce Coville,1989,106,88,12,1.6666666,3,non-fiction,2026-04-25
45,Down Under (In a Sunburned Country),Bill Bryson,2000,104,72,27,3.7857144,14,non-fiction,2026-04-25
46,The Magic School Bus,Joanna Cole,1990,100,79,15,4.2,5,non-fiction,2026-04-25
47,Ancient Egypt (DK Eyewitness),"Hart, George, George Hart, George Hart, DK Publishing",1990,98,83,6,5.0,3,non-fiction,2026-04-25
48,Tales from Shakespeare [20 tales],"Charles Lamb, Mary Lamb",1800,91,72,6,4.0,3,non-fiction,2026-04-25
49,The Visitor,Katherine Applegate,1996,90,64,24,4.4,5,non-fiction,2026-04-25
50,The Hunting of the Snark,Lewis Carroll,1876,89,75,13,4.8,5,non-fiction,2026-04-25
51,At the Back of the North Wind,George MacDonald,1871,79,69,8,4.3333335,3,non-fiction,2026-04-25
52,The Naked Ape,Desmond Morris,1772,79,55,17,3.6666667,9,non-fiction,2026-04-25
53,Odd Girls and Twilight Lovers,Lillian Faderman,1991,76,70,4,4.0,1,non-fiction,2026-04-25
54,Riddley Walker,Russell Hoban,1980,73,60,10,4.8,5,non-fiction,2026-04-25
55,The Ipcress File,Len Deighton,1962,72,55,12,3.5,4,non-fiction,2026-04-25
56,Deep Blue,"Jennifer Donnelly, Bea Miller",1782,71,59,5,4.6666665,3,non-fiction,2026-04-25
57,A Theory of Everything,Ken Wilber,2000,68,64,3,4.0,1,non-fiction,2026-04-25
58,Freshwater,Akwaeke Emezi,2018,67,54,13,3.5833333,12,non-fiction,2026-04-25
59,The Mystery of the Periodic Table,"Benjamin D. Wiker, Benjamin Wiker, Jeanne Bendick",2003,65,59,3,,0,non-fiction,2026-04-25
60,"Good dog, Carl",Alexandra Day,1985,63,40,21,4.5,4,non-fiction,2026-04-25
